Kode,Nama Perusahaan,Sektor Bisnis,Website,Social Media,Kontak
102,BEI: BBRI,Bank Rakyat Indonesia (Persero) Tbk.,,[],
103,BEI: BBRM,Pelayaran Nasional Bina Buana,,[],
104,BEI: BBSI,Krom Bank Indonesia Tbk.,,[],
105,BEI: BBSS,Bumi Benowo Sukses Sejahtera T,,[],
106,BEI: BBTN,Bank Tabungan Negara (Persero),,[],
107,BEI: BBYB,Bank Neo Commerce Tbk.,,[],
108,BEI: BCAP,MNC Kapital Indonesia Tbk.,,[],
109,BEI: BCIC,Bank JTrust Indonesia Tbk.,,[],
110,BEI: BCIP,Bumi Citra Permai Tbk.,,[],
111,BEI: BDKR,Berdikari Pondasi Perkasa Tbk.,,[],
112,BEI: BDMN,Bank Danamon Indonesia Tbk.,,[],
113,BEI: BEBS,Berkah Beton Sadaya Tbk.,,[],
114,BEI: BEEF,Estika Tata Tiara Tbk.,,[],
115,BEI: BEER,Jobubu Jarum Minahasa Tbk.,,[],
116,BEI: BEKS,Bank Pembangunan Daerah Banten,,[],
117,BEI: BELI,Global Digital Niaga Tbk.,,[],
118,BEI: BELL,Trisula Textile Industries Tbk,,[],
119,BEI: BESS,Batulicin Nusantara Maritim Tb,,[],
120,BEI: BEST,Bekasi Fajar Industrial Estate,,[],
121,BEI: BFIN,BFI Finance  Indonesia Tbk.,,[],
122,BEI: BGTG,Bank Ganesha Tbk.,,[],
123,BEI: BHAT,Bhakti Multi Artha Tbk.,,[],
124,BEI: BHIT,MNC Asia Holding Tbk.,,[],
125,BEI: BIKA,Binakarya Jaya Abadi Tbk.,,[],
126,BEI: BIKE,Sepeda Bersama Indonesia Tbk.,,[],
127,BEI: BIMA,Primarindo Asia Infrastructure,,[],
128,BEI: BINA,Bank Ina Perdana Tbk.,,[],
129,BEI: BINO,Perma Plasindo Tbk.,,[],
130,BEI: BIPI,Astrindo Nusantara Infrastrukt,,[],
131,BEI: BIPP,Bhuwanatala Indah Permai Tbk.,,[],
132,BEI: BIRD,Blue Bird Tbk.,,[],
133,BEI: BISI,BISI International Tbk.,,[],
134,BEI: BJBR,Bank Pembangunan Daerah Jawa B,,[],
135,BEI: BJTM,Bank Pembangunan Daerah Jawa T,,[],
136,BEI: BKDP,Bukit Darmo Property Tbk.,,[],
137,BEI: BKSL,Sentul City Tbk.,,[],
138,BEI: BKSW,Bank QNB Indonesia Tbk.,,[],
139,BEI: BLES,Superior Prima Sukses Tbk.,,[],
140,BEI: BLTA,Berlian Laju Tanker Tbk,,[],
141,BEI: BLTZ,Graha Layar Prima Tbk.,,[],
142,BEI: BLUE,Berkah Prima Perkasa Tbk.,,[],
143,BEI: BMAS,Bank Maspion Indonesia Tbk.,,[],
144,BEI: BMBL,Lavender Bina Cendikia Tbk.,,[],
145,BEI: BMHS,Bundamedik Tbk.,,[],
146,BEI: BMRI,Bank Mandiri (Persero) Tbk.,,[],
147,BEI: BMSR,Bintang Mitra Semestaraya Tbk,,[],
148,BEI: BMTR,Global Mediacom Tbk.,,[],
149,BEI: BNBA,Bank Bumi Arta Tbk.,,[],
150,BEI: BNBR,Bakrie & Brothers Tbk,,[],
151,BEI: BNGA,Bank CIMB Niaga Tbk.,,[],
152,BEI: BNII,Bank Maybank Indonesia Tbk.,,[],
153,BEI: BNLI,Bank Permata Tbk.,,[],
154,BEI: BOAT,Newport Marine Services Tbk.,,[],
155,BEI: BOBA,Formosa Ingredient Factory Tbk,,[],
156,BEI: BOGA,Bintang Oto Global Tbk.,,[],
157,BEI: BOLA,Bali Bintang Sejahtera Tbk.,,[],
158,BEI: BOLT,Garuda Metalindo Tbk.,,[],
159,BEI: BOSS,Borneo Olah Sarana Sukses Tbk.,,[],
160,BEI: BPFI,Woori Finance Indonesia Tbk.,,[],
161,BEI: BPII,Batavia Prosperindo Internasio,,[],
162,BEI: BPTR,Batavia Prosperindo Trans Tbk.,,[],
163,BEI: BRPT,Barito Pacific Tbk.,,[],
164,BEI: BRAM,Indo Kordsa Tbk.,,[],
165,BEI: BREN,Barito Renewables Energy Tbk.,,[],
166,BEI: BRIS,Bank Syariah Indonesia Tbk.,,[],
167,BEI: BRMS,Bumi Resources Minerals Tbk.,,[],
168,BEI: BRNA,Berlina Tbk.,,[],
169,BEI: BSBK,Wulandari Bangun Laksana Tbk.,,[],
170,BEI: BSDE,Bumi Serpong Damai Tbk.,,[],
171,BEI: BSIM,Bank Sinarmas Tbk.,,[],
172,BEI: BSML,Bintang Samudera Mandiri Lines,,[],
173,BEI: BSSR,Baramulti Suksessarana Tbk.,,[],
174,BEI: BSWD,Bank Of India Indonesia Tbk.,,[],
175,BEI: BTEK,Bumi Teknokultura Unggul Tbk,,[],
176,BEI: BTEL,Bakrie Telecom Tbk.,,[],
177,BEI: BTON,Betonjaya Manunggal Tbk.,,[],
178,BEI: BTPN,Bank SMBC Indonesia Tbk.,,[],
179,BEI: BTPS,Bank BTPN Syariah Tbk.,,[],
180,BEI: BUAH,Segar Kumala Indonesia Tbk.,,[],
181,BEI: BUDI,Budi Starch & Sweetener Tbk.,,[],
182,BEI: BUKA,Bukalapak.com Tbk.,,[],
183,BEI: BUKK,Bukaka Teknik Utama Tbk.,,[],
184,BEI: BULL,Buana Lintas Lautan Tbk.,,[],
185,BEI: BUMI,Bumi Resources Tbk.,,[],
186,BEI: BUVA,Bukit Uluwatu Villa Tbk.,,[],
187,BEI: BVIC,Bank Victoria International Tb,,[],
188,BEI: BWPT,Eagle High Plantations Tbk.,,[],
189,BEI: BYAN,Bayan Resources Tbk.,,[],
190,BEI: CAKK,Cahayaputra Asa Keramik Tbk.,,[],
191,BEI: CAMP,Campina Ice Cream Industry Tbk,,[],
192,BEI: CANI,Capitol Nusantara Indonesia Tb,,[],
193,BEI: CARE,Metro Healthcare Indonesia Tbk,,[],
194,BEI: CARS,Industri dan Perdagangan Bintr,,[],
195,BEI: CASA,Capital Financial Indonesia Tb,,[],
196,BEI: CASH,Cashlez Worldwide Indonesia Tb,,[],
197,BEI: CASS,Cardig Aero Services Tbk.,,[],
198,BEI: CBMF,Cahaya Bintang Medan Tbk.,,[],
199,BEI: CBPE,Citra Buana Prasida Tbk.,,[],
200,BEI: CBRE,Cakra Buana Resources Energi T,,[],
201,BEI: CBUT,Citra Borneo Utama Tbk.,,[],
202,BEI: CCSI,Communication Cable Systems In,,[],
203,BEI: CEKA,Wilmar Cahaya Indonesia Tbk.,,[],
204,BEI: CENT,Centratama Telekomunikasi Indo,,[],
205,BEI: CFIN,Clipan Finance Indonesia Tbk.,,[],
206,BEI: CGAS,Citra Nusantara Gemilang Tbk.,,[],
207,BEI: CHEM,Chemstar Indonesia Tbk.,,[],
208,BEI: CHIP,Pelita Teknologi Global Tbk.,,[],
209,BEI: CINT,Chitose Internasional Tbk.,,[],
210,BEI: CITA,Cita Mineral Investindo Tbk.,,[],
211,BEI: CITY,Natura City Developments Tbk.,,[],
212,BEI: CLAY,Citra Putra Realty Tbk.,,[],
213,BEI: CLEO,Sariguna Primatirta Tbk.,,[],
214,BEI: CLPI,Colorpak Indonesia Tbk.,,[],
215,BEI: CMNP,Citra Marga Nusaphala Persada,,[],
216,BEI: CMNT,Cemindo Gemilang Tbk.,,[],
217,BEI: CMPP,AirAsia Indonesia Tbk.,,[],
218,BEI: CMRY,Cisarua Mountain Dairy Tbk.,,[],
219,BEI: CNKO,Exploitasi Energi Indonesia Tb,,[],
220,BEI: CNMA,Nusantara Sejahtera Raya Tbk.,,[],
221,BEI: CNTX,Century Textile Industry Tbk.,,[],
222,BEI: COAL,Black Diamond Resources Tbk.,,[],
223,BEI: COCO,Wahana Interfood Nusantara Tbk,,[],
224,BEI: COWL,Cowell Development Tbk.,,[],
225,BEI: CPIN,Charoen Pokphand Indonesia Tbk,,[],
226,BEI: CPRI,Capri Nusa Satu Properti Tbk.,,[],
227,BEI: CPRO,Central Proteina Prima Tbk.,,[],
228,BEI: CRAB,Toba Surimi Industries Tbk.,,[],
229,BEI: CRSN,Carsurin Tbk.,,[],
230,BEI: CSAP,Catur Sentosa Adiprana Tbk.,,[],
231,BEI: CSIS,Cahayasakti Investindo Sukses,,[],
232,BEI: CSMI,Cia Selera Murni Tbk.,,[],
233,BEI: CSRA,Cisadane Sawit Raya Tbk.,,[],
234,BEI: CTBN,Citra Tubindo Tbk.,,[],
235,BEI: CTRA,Ciputra Development Tbk.,,[],
236,BEI: CTTH,Citatah Tbk.,,[],
237,BEI: CUAN,Petrindo Jaya Kreasi Tbk.,,[],
238,BEI: CYBR,ITSEC Asia Tbk.,,[],
239,BEI: DAAZ,Daaz Bara Lestari Tbk.,,[],
240,BEI: DADA,Diamond Citra Propertindo Tbk.,,[],
241,BEI: DART,Duta Anggada Realty Tbk.,,[],
242,BEI: DATA,Remala Abadi Tbk.,,[],
243,BEI: DAYA,Duta Intidaya Tbk.,,[],
244,BEI: DCII,DCI Indonesia Tbk.,,[],
245,BEI: DEAL,Dewata Freightinternational Tb,,[],
246,BEI: DEFI,Danasupra Erapacific Tbk.,,[],
247,BEI: DEPO,Caturkarda Depo Bangunan Tbk.,,[],
248,BEI: DEWA,Darma Henwa Tbk,,[],
249,BEI: DEWI,Dewi Shri Farmindo Tbk.,,[],
250,BEI: DFAM,Dafam Property Indonesia Tbk.,,[],
251,BEI: DGIK,Nusa Konstruksi Enjiniring Tbk,,[],
252,BEI: DGNS,Diagnos Laboratorium Utama Tbk,,[],
253,BEI: DIGI,Arkadia Digital Media Tbk.,,[],
254,BEI: DILD,Intiland Development Tbk.,,[],
255,BEI: DIVA,Distribusi Voucher Nusantara T,,[],
256,BEI: DKFT,Central Omega Resources Tbk.,,[],
257,BEI: DLTA,Delta Djakarta Tbk.,,[],
258,BEI: DMAS,Puradelta Lestari Tbk.,,[],
259,BEI: DMMX,Digital Mediatama Maxima Tbk.,,[],
260,BEI: DMND,Diamond Food Indonesia Tbk.,,[],
261,BEI: DNAR,Bank Oke Indonesia Tbk.,,[],
262,BEI: DNET,Indoritel Makmur Internasional,,[],
263,BEI: DOID,Delta Dunia Makmur Tbk.,,[],
264,BEI: DOOH,Era Media Sejahtera Tbk.,,[],
265,BEI: DOSS,Global Sukses Digital Tbk.,,[],
266,BEI: DPNS,Duta Pertiwi Nusantara Tbk.,,[],
267,BEI: DPUM,Dua Putra Utama Makmur Tbk.,,[],
268,BEI: DRMA,Dharma Polimetal Tbk.,,[],
269,BEI: DSFI,Dharma Samudera Fishing Indust,,[],
270,BEI: DSNG,Dharma Satya Nusantara Tbk.,,[],
271,BEI: DSSA,Dian Swastatika Sentosa Tbk,,[],
272,BEI: PTDU,Djasa Ubersakti Tbk.,,[],
273,BEI: DUCK,Jaya Bersama Indo Tbk.,,[],
274,BEI: DUTI,Duta Pertiwi Tbk,,[],
275,BEI: DVLA,Darya-Varia Laboratoria Tbk.,,[],
276,BEI: DWGL,Dwi Guna Laksana Tbk.,,[],
277,BEI: DYAN,Dyandra Media International Tb,,[],
278,BEI: EAST,Eastparc Hotel Tbk.,,[],
279,BEI: ECII,Electronic City Indonesia Tbk.,,[],
280,BEI: EDGE,Indointernet Tbk.,,[],
281,BEI: EKAD,Ekadharma International Tbk.,,[],
282,BEI: ELIT,Data Sinergitama Jaya Tbk.,,[],
283,BEI: ELPI,Pelayaran Nasional Ekalya Purn,,[],
284,BEI: ELSA,Elnusa Tbk.,,[],
285,BEI: ELTY,Bakrieland Development Tbk.,,[],
286,BEI: EMDE,Megapolitan Developments Tbk.,,[],
287,BEI: EMTK,Elang Mahkota Teknologi Tbk.,,[],
288,BEI: ENAK,Champ Resto Indonesia Tbk.,,[],
289,BEI: ENRG,Energi Mega Persada Tbk.,,[],
290,BEI: ENVY,Envy Technologies Indonesia Tb,,[],
291,BEI: ENZO,Morenzo Abadi Perkasa Tbk.,,[],
292,BEI: EPAC,Megalestari Epack Sentosaraya,,[],
293,BEI: EPMT,Enseval Putera Megatrading Tbk,,[],
294,BEI: ERAA,Erajaya Swasembada Tbk.,,[],
295,BEI: ERAL,Sinar Eka Selaras Tbk.,,[],
296,BEI: ERTX,Eratex Djaja Tbk.,,[],
297,BEI: ESIP,Sinergi Inti Plastindo Tbk.,,[],
298,BEI: ESSA,ESSA Industries Indonesia Tbk.,,[],
299,BEI: ESTA,Esta Multi Usaha Tbk.,,[],
300,BEI: ESTI,Ever Shine Tex Tbk.,,[],
301,BEI: ETWA,Eterindo Wahanatama Tbk,,[],
302,BEI: EURO,Estee Gold Feet Tbk.,,[],
303,BEI: EXCL,XL Axiata Tbk.,,[],
304,BEI: FAPA,FAP Agri Tbk.,,[],
305,BEI: FAST,Fast Food Indonesia Tbk.,,[],
306,BEI: FASW,Fajar Surya Wisesa Tbk.,,[],
307,BEI: FILM,MD Entertainment Tbk.,,[],
308,BEI: FIMP,Fimperkasa Utama Tbk.,,[],
309,BEI: FIRE,Alfa Energi Investama Tbk.,,[],
310,BEI: FISH,FKS Multi Agro Tbk.,,[],
311,BEI: FITT,Hotel Fitra International Tbk.,,[],
312,BEI: FLMC,Falmaco Nonwoven Industri Tbk.,,[],
313,BEI: FMII,Fortune Mate Indonesia Tbk,,[],
314,BEI: FOLK,Multi Garam Utama Tbk.,,[],
315,BEI: FOOD,Sentra Food Indonesia Tbk.,,[],
316,BEI: FORU,Fortune Indonesia Tbk,,[],
317,BEI: FORZ,Forza Land Indonesia Tbk.,,[],
318,BEI: FPNI,Lotte Chemical Titan Tbk.,,[],
319,BEI: FREN,Smartfren Telecom Tbk.,,[],
320,BEI: FUJI,Fuji Finance Indonesia Tbk.,,[],
321,BEI: FUTR,Lini Imaji Kreasi Ekosistem Tb,,[],
322,BEI: FWCT,Wijaya Cahaya Timber Tbk.,,[],
323,BEI: GAMA,Aksara Global Development Tbk.,,[],
324,BEI: GDST,Gunawan Dianjaya Steel Tbk.,,[],
325,BEI: GDYR,Goodyear Indonesia Tbk.,,[],
326,BEI: GEMA,Gema Grahasarana Tbk.,,[],
327,BEI: GEMS,Golden Energy Mines Tbk.,,[],
328,BEI: GGRM,Gudang Garam Tbk.,,[],
329,BEI: GGRP,Gunung Raja Paksi Tbk.,,[],
330,BEI: GHON,Gihon Telekomunikasi Indonesia,,[],
331,BEI: GIAA,Garuda Indonesia (Persero) Tbk,,[],
332,BEI: GJTL,Gajah Tunggal Tbk.,,[],
333,BEI: GLOB,Globe Kita Terang Tbk.,,[],
334,BEI: GLVA,Galva Technologies Tbk.,,[],
335,BEI: GMFI,Garuda Maintenance Facility Ae,,[],
336,BEI: GMTD,Gowa Makassar Tourism Developm,,[],
